id,model,starting,ending,webpage,reverb,score,classic
36,Les Paul Classic,2019,2024,https://www.gibson.com/en-US/Electric-Guitar/USAI9Q269/Honeyburst,https://reverb.com/ca/p/gibson-les-paul-classic-2019-present,-1,Yes
37,Les Paul Classic Smokehouse Burst,2019,2019,https://www.sweetwater.com/store/detail/LPCLSWSMB--gibson-les-paul-classic-electric-guitar-smokehouse-burst-sweetwater-exclusive,,0,Yes
38,Les Paul Classic Plus Blueberry burst,2021,2021,https://www.long-mcquade.com/224621/Guitars/Electric-Guitars/Gibson/Les-Paul-Classic-Plus-AAA---Blueberry-Burst.htm,https://reverb.com/ca/p/gibson-les-paul-classic-plus-2021,15,Yes
39,Les Paul Classic Deep Purple,2023,2024,https://www.gibson.com/en-US/Electric-Guitar/Les-Paul-Classic-Exclusive/Deep-Purple,,0,Yes
40,Les Paul Classic Olive Drab,2023,2024,https://www.gibson.com/en-US/Electric-Guitar/USA4CW890/Olive-Drab,,0,Yes
41,Les Paul Supreme w/3 pickups,2023,2024,"Les Paul Supreme, Exclusive",https://reverb.com/ca/p/gibson-les-paul-supreme-2023-present,1,No
42,Epiphone Les Paul Black Beauty,1996,2019,Epiphone Les Paul Black Beauty,https://reverb.com/ca/p/epiphone-les-paul-custom-black-beauty-3-pickup,0,No
43,Epiphone Les Paul Joe Bonamassa Black Beauty,2020,2020,"Epiphone Joe Bonamassa ""Black Beauty"" Les Paul Custom - Ebony",https://reverb.com/ca/p/epiphone-joe-bonamassa-black-beauty-les-paul-custom-outfit?item_region=XX,0,No
44,Epiphone Ace Frehley Signature Les Paul,1996,2007,Epiphone Ace Frehley LP Custom,https://reverb.com/ca/p/epiphone-ace-frehley-signature-les-paul,0,No
45,Epiphone Peter Frampton Custom Les Paul 2018 Ebony Phenix,2018,2018,Epiphone Ltd Ed Peter Frampton LP Custom PRO,https://reverb.com/ca/p/epiphone-peter-frampton-signature-les-paul-custom-pro-premium-signed,0,No
46,Epiphone Ace Frehley Signature Budokan Les Paul Custom,2012,2012,Epiphone Ace Frehley Budokan,https://reverb.com/ca/p/epiphone-ace-frehley-signature-budokan-les-paul-custom,0,No
47,Gibson Slash Collection Les Paul Standard,2020,2024,Gibson | Slash Les Paul Standard Appetite Burst,https://reverb.com/ca/p/gibson-slash-collection-les-paul-standard,0,No
48,Epiphone Les Paul Custom Outfit 1955,2016,2019,https://web.archive.org/web/20170529022148/http://www.epiphone.com/products/electrics/les-paul/ltd-ed-inspired-by-1955-lp-custom-outfit.aspx,https://reverb.com/ca/p/epiphone-inspired-by-1955-les-paul-custom-outfit?item_region=XX,0,No
49,Gibson Les Paul Supreme 2003 - 2013,2003,2013,https://web.archive.org/web/20170529022148/http://www.epiphone.com/products/electrics/les-paul/ltd-ed-inspired-by-1955-lp-custom-outfit.aspx,https://reverb.com/p/gibson-les-paul-supreme-electric-guitar,0,No
50,1993 Mahogany Top 1956 R6 Gibson Les Paul Reissue,1993,1993,,https://reverb.com/ca/item/77237857-gibson-les-paul-standard-limited-edition-1993-heritage-cherry,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
,,,,,,0,Yes
