,Models,Limited Run,Starting Month,Ending Month,Specification Web Page,Reverb Listing,Notes,Rate,Wanna,"low bracket
(USD)","Average
(USD)","high bracket
(USD)",
24,Les Paul Classic Classic Custom 2014,Yes,2014,2014,,Gibson Limited Edition Les Paul Classic Custom 2014,"limited “Flower Pot” inlay - Limited release through Guitar Center
https://www.youtube.com/watch?v=RNtH6jNa0TU",3,Yes,"1 861,00 $","2 463,50 $","3 066,00 $",
25,Les Paul Classic Custom Lite,Yes,2014,2014,Les Paul Classic Custom Lite,Gibson Les Paul Custom Classic Lite 2014,Vintage burst,2,Yes,"1 872,00 $","2 538,50 $","3 205,00 $",
26,Les Paul Classic Double Cutaway,No,2014,2017,Les Paul Classic Double Cutaway,Gibson Les Paul Classic Double Cutaway 2014,120th anniversary https://www.youtube.com/watch?v=mrmCepdl72E,3,Yes,"1 800,00 $","2 025,00 $","2 250,00 $",
27,"Les Paul Classic ""Rock"" ",Yes,2015,2015,"Les Paul Classic ""Rock"" Series","Gibson Limited Edition Les Paul Classic ""Rock"" Turquoise 2015",,1,Yes,"1 000,00 $","1 250,00 $","1 500,00 $",
28,"Les Paul Classic ""Rock"" II",Yes,2015,2015,"Les Paul Classic ""Rock"" II","Gibson Limited Edition Les Paul Classic ""Rock"" II Black / White Marble 2015",,1,Yes,"1 400,00 $","1 800,00 $","2 200,00 $",
29,Les Paul Classic 2015,Yes,2015,2015,Les Paul Classic 2015,,,0,No,,,,
30,Les Paul Classic Limited 2016,Yes,2016,2016,,Gibson Les Paul Classic Limited 2016,Long & McQuade exclusive run,0,No,"1 322,00 $","1 699,50 $","2 077,00 $",
31,Les Paul Classic HP,Yes,2017,2017,Les Paul Classic High Performance,Gibson Les Paul Classic HP 2017,Fast-access heel,2,Yes,"1 769,00 $","2 335,50 $","2 902,00 $",
32,Les Paul Classic T,Yes,2017,2017,Les Paul Classic 2017 T,Gibson Les Paul Classic T 2017,,0,No,"1 390,00 $","1 716,00 $","2 042,00 $",
33,Les Paul Classic 2018 P90,Yes,2018,2018,Les Paul Classic 2018,Gibson Les Paul Classic 2018,"Plain top, P-90",3,Yes,"1 535,00 $","1 897,50 $","2 260,00 $",
34,Les Paul Classic 7 String,Yes,2018,2018,Les Paul Classic 7 String,Gibson Les Paul Classic 7-String,,1,Yes,"1 710,00 $","2 342,00 $","2 974,00 $",
35,Les Paul Classic Player Plus P90,Yes,2018,2018,"A Stylish Classic Les Paul, Plus More",Gibson Les Paul Classic Player Plus 2018,"""AA"" Maple top, satin finish, P-90",1,Yes,"1 223,00 $","1 541,00 $","1 859,00 $",
36,Les Paul Classic,No,2019,2024,Les Paul Classic,Gibson Les Paul Classic (2019 - Present),,,Got,,,,
37,Les Paul Classic Smokehouse Burst,Yes,2019,2019,Les Paul Classic Smokehouse Burst,,limited edition made for Sweetwater,0,No,,,,
38,Les Paul Classic Plus Blueberry burst,Yes,2021,2021,,Les Paul Classic Plus Blueberry burst,,1,Yes,"1 800,00 $","2 100,00 $","2 400,00 $",
39,Les Paul Classic Deep Purple,No,2023,2024,Les Paul Classic Deep Purple,Les Paul Classic Deep Purple,,0,No,,,,
40,Les Paul Classic Olive Drab,No,2023,2024,Les Paul Classic Olive Drab,Les Paul Classic Olive Drab,,0,No,,,,
